City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Rio Branco,BR,2023-02-26 06:00:58,-9.9747,-67.81,77.61,94,0,4.61
112,Santarem,BR,2023-02-26 06:00:59,-2.4431,-54.7083,75.33,94,20,3.44
113,Plattsburgh,US,2023-02-26 05:58:45,44.6995,-73.4529,7.14,93,67,4.63
114,Berbera,SO,2023-02-26 06:01:00,10.4396,45.0143,79.88,72,91,3.51
115,Ndende,GA,2023-02-26 06:01:00,-2.4008,11.3581,73.53,98,98,0.2
116,Portel,BR,2023-02-26 05:58:11,-1.9356,-50.8211,72.41,97,82,2.26
117,Adre,TD,2023-02-26 06:01:01,13.4667,22.2,71.71,18,33,12.77
118,Barcelona,ES,2023-02-26 05:56:05,41.3888,2.159,47.53,71,40,10.36
119,Sheltozero,RU,2023-02-26 06:01:02,61.3667,35.3667,19.24,90,100,16.17
120,Sirok,HU,2023-02-26 06:01:03,47.9333,20.2,35.35,85,100,1.86
121,Grindavik,IS,2023-02-26 06:01:04,63.8424,-22.4338,45.07,93,75,24.16
122,Springdale,US,2023-02-26 06:00:29,36.1867,-94.1288,48.11,85,100,4.61
123,Isla Mujeres,MX,2023-02-26 06:01:05,21.2311,-86.731,77.16,71,5,13.82
124,Bafoulabe,ML,2023-02-26 06:01:06,13.8065,-10.8321,78.57,21,16,3.89
125,Jalu,LY,2023-02-26 06:01:07,29.0331,21.5482,59.05,21,12,15.88
126,Husavik,IS,2023-02-26 06:01:07,66.0449,-17.3389,38.1,77,100,16.35
127,Kasongo,CD,2023-02-26 06:01:08,-4.45,26.6667,71.15,84,100,1.81
128,Lima,PE,2023-02-26 05:59:26,-12.0432,-77.0282,72.9,83,0,9.22
129,Hithadhoo,MV,2023-02-26 06:01:09,-0.6,73.0833,82.04,75,99,5.99
130,Dagda,LV,2023-02-26 06:01:09,56.0951,27.5372,21.56,93,100,13.33
131,Boende,CD,2023-02-26 06:02:10,-0.2167,20.8667,72.91,82,88,2.77
132,Los Llanos De Aridane,ES,2023-02-26 06:02:11,28.6585,-17.9182,60.55,95,100,4.61
133,Bolu,TR,2023-02-26 06:02:12,40.6667,31.5833,45.32,73,36,6.02
134,Sinnamary,GF,2023-02-26 06:02:13,5.3833,-52.95,74.89,91,97,6.4
135,Sao Joao Da Barra,BR,2023-02-26 06:02:13,-21.6403,-41.0511,75.13,89,89,14.12
136,Torbay,CA,2023-02-26 06:00:28,47.6666,-52.7314,6.58,77,100,14.97
