City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Hotel Name
525,525,Moron,AR,-34.6534,-58.6198,80.92,61,90,10.18,overcast clouds,La Esquina
554,554,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,76.89,75,37,5.48,scattered clouds,Hotel Presidente
567,567,Iquique,CL,-20.2208,-70.1431,71.64,77,91,4.09,overcast clouds,Hostal Vivar
570,570,La Mana,EC,-0.9333,-79.2167,73.47,94,100,1.97,light rain,Las Cascadas
572,572,Vila Velha,BR,-20.3297,-40.2925,76.95,93,40,3.44,scattered clouds,Hotel Prainha
578,578,San Martin,AR,-33.081,-68.4681,76.33,39,71,26.11,broken clouds,Hotel Lacava
580,580,Luanda,AO,-8.8368,13.2343,77.0,83,75,2.3,broken clouds,Hotel Forum
584,584,Tefe,BR,-3.3542,-64.7114,74.52,98,100,2.44,overcast clouds,Pousada Santa Teresa
588,588,Farafangana,MG,-22.8167,47.8333,76.19,84,44,4.9,light rain,Le Concombre Masqué
599,599,Umarizal,BR,-5.9906,-37.8144,76.19,72,96,7.78,overcast clouds,Pousada Flores da Terra
602,602,Benguela,AO,-12.5763,13.4055,75.18,85,100,1.88,light rain,Hotel Moibela
606,606,Cartagena,CO,10.3997,-75.5144,76.62,83,20,6.91,few clouds,Hotel Bellamar
609,609,Doha,QA,25.2867,51.5333,73.38,68,0,8.05,clear sky,Al MIrqab
611,611,Am Timan,TD,11.0297,20.2827,80.17,14,100,7.09,overcast clouds,Nimla
615,615,Calabozo,VE,8.9242,-67.4293,81.54,59,91,5.1,overcast clouds,Hotel Plaza Real
618,618,Batticaloa,LK,7.7102,81.6924,81.46,74,100,7.85,overcast clouds,Lake View Hotel
622,622,Moundou,TD,8.5667,16.0833,80.94,52,100,4.07,overcast clouds,فندق جمرا
624,624,Linhares,BR,-19.3911,-40.0722,71.4,96,95,1.9,overcast clouds,Days Inn Linhares
625,625,Guarapari,BR,-20.6667,-40.4975,75.88,89,95,7.72,overcast clouds,Osmar Hotel
627,627,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,70.38,89,98,4.29,overcast clouds,Hotel São Miguel
629,629,Jacmel,HT,18.2342,-72.5347,75.04,76,99,5.19,overcast clouds,Hotel L'Amenitie
634,634,Venado Tuerto,AR,-33.7456,-61.9688,75.78,33,79,6.87,broken clouds,Hotel Salta
648,648,South Venice,US,27.0531,-82.4243,71.98,72,0,6.91,clear sky,Kon-Tiki Motel
653,653,Corn Island,NI,12.1694,-83.0418,79.05,69,40,12.62,scattered clouds,Sunrise Hotel
656,656,Ladario,BR,-19.0047,-57.6017,72.52,95,24,2.17,few clouds,Hotel Gold Fish
664,664,Maragogi,BR,-9.0122,-35.2225,77.67,78,100,4.88,overcast clouds,Pousada Mariluz
675,675,Puerto Carreno,CO,6.189,-67.4859,79.54,73,100,5.75,overcast clouds,Carreño Plaza
678,678,Tigre,AR,-34.426,-58.5796,81.18,61,84,3.0,broken clouds,Posada de 1860
